,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
60,0.3381,0.2128,1.8425916765656922,3.2828144378299955,55.99470520019531,15.144812107086182,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
61,0.33924,0.2314,1.83374697564508,3.3618967789637892,55.76948070526123,14.854012250900269,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
62,0.34072,0.2159,1.8250631304348217,3.333613282517542,56.05285620689392,14.931368589401245,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
63,0.34186,0.1902,1.8276444694880025,3.1178660422940796,56.50145769119263,15.191116571426392,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
64,0.3436,0.2138,1.8273396232853765,3.4571911172021794,55.35354971885681,14.80189323425293,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
65,0.3425,0.2012,1.8252883115997705,3.5635059181647963,54.609726667404175,14.56470537185669,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
66,0.34398,0.1641,1.8204219350424569,3.589921916587443,54.44238066673279,14.559804916381836,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
67,0.34242,0.1499,1.8224396873313142,4.082646940327898,54.83833360671997,14.770164728164673,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
68,0.34632,0.1469,1.8166640518266526,3.5303916327561002,54.344640254974365,14.802330017089844,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
69,0.34558,0.165,1.8190464503929744,3.4708253190487244,54.75956749916077,14.532575130462646,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
70,0.34474,0.1578,1.8189875579551054,3.826734215398378,54.49253439903259,14.605992555618286,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
71,0.3456,0.1523,1.819200250498779,4.04940678499922,54.932339906692505,14.700310945510864,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
72,0.34248,0.1292,1.8172522938769797,3.661692335635801,54.90034627914429,14.535691976547241,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
73,0.34612,0.1194,1.8174599479226505,3.911420628994326,54.995609521865845,15.06216287612915,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
74,0.34568,0.1663,1.8226057352007503,3.193807939939861,54.77221488952637,14.834272384643555,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
75,0.34708,0.1109,1.8152034627202223,3.7155855577203294,54.98644661903381,14.619358539581299,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
76,0.34678,0.1363,1.818054701056322,4.012011681930928,54.518537521362305,14.6065514087677,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
77,0.34954,0.1047,1.8162866413135967,4.955361565457115,54.58354878425598,14.826215744018555,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
78,0.34688,0.1573,1.8140935974047923,3.402967363973207,54.54281139373779,14.824727058410645,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
79,0.34826,0.1057,1.8113628729530002,4.023185038868385,54.4613573551178,14.454951286315918,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
80,0.34876,0.1038,1.8076227098474722,4.273805935171586,55.20655798912048,14.671098470687866,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
81,0.34744,0.1036,1.8076651059758022,4.186263132698929,54.9033887386322,14.58397388458252,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
82,0.35012,0.1029,1.803436344541857,4.16787641561484,54.746267557144165,14.540996313095093,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
83,0.35004,0.1036,1.8067441349444182,3.876270867601226,54.678226470947266,14.69813060760498,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
84,0.34962,0.1052,1.8086856445083228,4.291450612152679,54.504112243652344,14.652312994003296,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
85,0.34872,0.1022,1.8081219574374616,5.219364815120455,54.92949461936951,14.553767442703247,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
86,0.34626,0.1038,1.8096877056009628,4.450630580322652,54.88703966140747,14.8826162815094,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
87,0.34708,0.1023,1.8075061420650433,4.140395593039597,54.25960946083069,14.451370477676392,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
88,0.35236,0.1037,1.8019898065825557,4.464872903461698,54.46092772483826,14.547358274459839,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
89,0.35322,0.103,1.8051299500038556,4.4096991683863385,54.50615334510803,14.697045803070068,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
90,0.3512,0.1031,1.8081033656664212,4.205630287339416,54.04956078529358,14.363555908203125,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
91,0.35034,0.103,1.8083969165601999,4.510019453265999,54.658713579177856,14.749813795089722,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
92,0.34792,0.103,1.8093782050530318,4.187759342072885,54.047239780426025,14.564815521240234,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
93,0.35216,0.1047,1.7998749843948638,4.261555964433694,53.749080419540405,14.30698037147522,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
94,0.3504,0.1025,1.8098590535580958,4.113683839387532,53.82265663146973,14.57572889328003,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
95,0.34894,0.1055,1.8075750450344037,4.16047876092452,54.304935932159424,14.664597749710083,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
96,0.35426,0.1042,1.8057282385618791,4.190970873530907,54.04876708984375,14.510605573654175,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
97,0.34958,0.1029,1.7999362387620579,4.289245865013026,53.58170032501221,14.702946424484253,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
98,0.3494,0.1033,1.8050412860367915,4.9508529071566425,54.74767804145813,14.667663812637329,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
99,0.34972,0.1023,1.8045347727778014,4.6778267516365535,53.31696033477783,14.296753883361816,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
